id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking
1247,- 12000,nieve,playa,Servicios Financieros,Aragón,"Si, pequeña",electrico,uso particular habitual,Manual,Si
1248,35000-60000,buen clima,playa,Servicios Financieros,Andalucía,"Si, pequeña",diesel,viajes largos,Manual,Si
1249,12000 - 20000,buen clima,montaña,Entretenimiento y Medios,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1250,+ 100000,nieve,ciudad,Salud,Asturias,No,diesel,uso particular habitual,Automatico,Si
1251,35000-60000,nieve,ciudad,Salud,Galicia,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1252,- 12000,nieve,ciudad,Salud,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
1253,20000 - 35000,nieve,montaña,Transporte y Logística,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,No
1254,+ 100000,buen clima,montaña,Salud,Castilla y León,"Si, pequeña",electrico,uso particular ocasional,Manual,No
1255,20000 - 35000,buen clima,playa,Tecnología,Asturias,No,gasolina,uso particular habitual,Manual,Si
1256,60000 - 100000,buen clima,montaña,Transporte y Logística,Extremadura,No,diesel,uso particular ocasional,Automatico,No
1257,20000 - 35000,buen clima,montaña,Educación,Galicia,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1258,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Madrid,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
1259,20000 - 35000,nieve,playa,Comercio,País Vasco,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
1260,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,Extremadura,"Si, grande",diesel,uso particular habitual,Manual,No
1261,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Aragón,No,gasolina,viajes largos,Automatico,Si
1262,20000 - 35000,nieve,ciudad,Entretenimiento y Medios,Asturias,"Si, grande",diesel,viajes largos,Automatico,Si
1263,20000 - 35000,buen clima,montaña,Servicios Financieros,Andalucía,"Si, grande",diesel,uso particular habitual,Automatico,Si
1264,+ 100000,buen clima,montaña,Otros,Castilla y León,"Si, grande",diesel,uso particular ocasional,Manual,Si
1265,12000 - 20000,off-road,ciudad,Energía,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1266,12000 - 20000,buen clima,montaña,Servicios Financieros,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1267,60000 - 100000,buen clima,montaña,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",diesel,viajes largos,Manual,Si
1268,60000 - 100000,buen clima,ciudad,Transporte y Logística,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No
1269,20000 - 35000,off-road,ciudad,Tecnología,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
1270,- 12000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",electrico,viajes largos,Manual,No
1271,20000 - 35000,buen clima,montaña,Salud,Navarra,No,gasolina,uso particular ocasional,Manual,Si
1272,35000-60000,nieve,playa,Entretenimiento y Medios,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1273,20000 - 35000,buen clima,playa,Turismo y Ocio,Cataluña,No,electrico,uso particular habitual,Manual,Si
1274,60000 - 100000,off-road,montaña,Otros,Asturias,"Si, pequeña",hibrido,uso particular habitual,Automatico,Si
1275,20000 - 35000,buen clima,montaña,Salud,Cantabria,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1276,20000 - 35000,buen clima,ciudad,Otros,Extremadura,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
1277,20000 - 35000,buen clima,montaña,Tecnología,Canarias,"Si, grande",hibrido,uso particular ocasional,Manual,Si
1278,60000 - 100000,buen clima,montaña,Salud,Asturias,"Si, pequeña",electrico,uso particular habitual,Automatico,Si
1279,20000 - 35000,buen clima,montaña,Educación,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1280,35000-60000,buen clima,ciudad,Energía,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1281,20000 - 35000,buen clima,playa,Tecnología,Andalucía,"Si, grande",diesel,uso particular habitual,Automatico,Si
1282,20000 - 35000,buen clima,ciudad,Comercio,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
1283,35000-60000,off-road,montaña,Turismo y Ocio,Madrid,"Si, grande",diesel,uso particular habitual,Manual,No
1284,12000 - 20000,buen clima,montaña,Turismo y Ocio,Baleares,No,hibrido,uso particular habitual,Manual,No
1285,20000 - 35000,nieve,ciudad,Industria Construccion y Manufactura,Aragón,"Si, grande",hibrido,uso particular ocasional,Manual,No
1286,60000 - 100000,nieve,montaña,Entretenimiento y Medios,Extremadura,"Si, pequeña",diesel,viajes largos,Automatico,Si
1287,- 12000,nieve,ciudad,Salud,Cantabria,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1288,60000 - 100000,buen clima,playa,Tecnología,Andalucía,No,gasolina,viajes largos,Automatico,Si
1289,+ 100000,buen clima,ciudad,Tecnología,Andalucía,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
1290,35000-60000,buen clima,ciudad,Industria Construccion y Manufactura,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,No
1291,- 12000,buen clima,ciudad,Servicios Financieros,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
1292,+ 100000,buen clima,montaña,Energía,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
1293,35000-60000,buen clima,ciudad,Salud,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1294,12000 - 20000,buen clima,montaña,Tecnología,Cataluña,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1295,35000-60000,buen clima,ciudad,Tecnología,Aragón,"Si, grande",gasolina,uso particular ocasional,Manual,Si
1296,12000 - 20000,off-road,ciudad,Educación,Cataluña,"Si, pequeña",diesel,viajes largos,Manual,Si
1297,20000 - 35000,buen clima,playa,Energía,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,No
1298,12000 - 20000,buen clima,playa,Transporte y Logística,La Rioja,"Si, grande",hibrido,viajes largos,Manual,Si
1299,- 12000,buen clima,montaña,Servicios Financieros,Cataluña,"Si, pequeña",diesel,viajes largos,Manual,No
1300,60000 - 100000,off-road,playa,Servicios Financieros,Cantabria,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1301,20000 - 35000,off-road,montaña,Comercio,Canarias,"Si, grande",diesel,uso particular ocasional,Manual,No
1302,20000 - 35000,buen clima,ciudad,Servicios Financieros,Cantabria,"Si, pequeña",gasolina,viajes largos,Automatico,Si
1303,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Baleares,No,diesel,uso particular ocasional,Manual,Si
1304,20000 - 35000,buen clima,montaña,Servicios Financieros,Galicia,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
1305,12000 - 20000,buen clima,montaña,Energía,Galicia,"Si, pequeña",diesel,uso particular habitual,Manual,No
1306,12000 - 20000,buen clima,montaña,Salud,Andalucía,No,diesel,uso particular ocasional,Manual,Si
1307,- 12000,buen clima,montaña,Educación,Cantabria,No,diesel,uso particular ocasional,Manual,Si
1308,- 12000,buen clima,ciudad,Salud,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1309,20000 - 35000,buen clima,playa,Servicios Financieros,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1310,- 12000,buen clima,montaña,Tecnología,Extremadura,"Si, grande",gasolina,uso particular habitual,Automatico,Si
1311,35000-60000,buen clima,montaña,Otros,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
1312,- 12000,buen clima,playa,Tecnología,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1313,60000 - 100000,buen clima,ciudad,Energía,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1314,60000 - 100000,nieve,montaña,Turismo y Ocio,Andalucía,"Si, pequeña",electrico,uso particular habitual,Manual,No
1315,60000 - 100000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,No,diesel,uso particular ocasional,Manual,No
1316,35000-60000,nieve,playa,Turismo y Ocio,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,Si
1317,- 12000,buen clima,montaña,Salud,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
1318,20000 - 35000,nieve,montaña,Otros,Andalucía,"Si, grande",gasolina,uso particular ocasional,Manual,Si
1319,20000 - 35000,buen clima,montaña,Tecnología,Canarias,"Si, grande",diesel,uso particular ocasional,Manual,No
1320,35000-60000,buen clima,playa,Comercio,Asturias,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
1321,20000 - 35000,buen clima,montaña,Tecnología,Castilla-La Mancha,"Si, pequeña",hibrido,uso particular ocasional,Automatico,Si
1322,20000 - 35000,buen clima,ciudad,Salud,Castilla-La Mancha,"Si, grande",diesel,uso particular ocasional,Manual,No
1323,60000 - 100000,nieve,playa,Tecnología,Aragón,No,diesel,uso particular ocasional,Manual,Si
1324,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,Si
1325,12000 - 20000,nieve,playa,Servicios Financieros,Extremadura,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
1326,35000-60000,nieve,montaña,Comercio,Castilla-La Mancha,"Si, grande",diesel,viajes largos,Manual,No
1327,12000 - 20000,buen clima,playa,Educación,Baleares,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
1328,60000 - 100000,nieve,montaña,Salud,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1329,12000 - 20000,buen clima,ciudad,Tecnología,Andalucía,"Si, pequeña",hibrido,viajes largos,Manual,No
1330,20000 - 35000,buen clima,ciudad,Energía,Aragón,"Si, grande",diesel,uso particular habitual,Manual,No
1331,20000 - 35000,buen clima,ciudad,Salud,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
1332,12000 - 20000,buen clima,ciudad,Comercio,Andalucía,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
1333,20000 - 35000,off-road,ciudad,Transporte y Logística,Canarias,"Si, grande",hibrido,uso particular ocasional,Manual,Si
1334,35000-60000,buen clima,montaña,Servicios Financieros,Aragón,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
1335,12000 - 20000,buen clima,playa,Educación,Castilla y León,No,diesel,uso particular habitual,Automatico,Si
1336,+ 100000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
1337,+ 100000,buen clima,montaña,Comercio,Cataluña,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1338,12000 - 20000,buen clima,montaña,Educación,Castilla-La Mancha,No,electrico,uso particular habitual,Automatico,Si
1339,12000 - 20000,buen clima,playa,Energía,Baleares,"Si, pequeña",diesel,viajes largos,Manual,Si
1340,35000-60000,buen clima,montaña,Salud,Castilla y León,"Si, pequeña",diesel,uso particular habitual,Manual,No
1341,- 12000,buen clima,montaña,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1342,20000 - 35000,buen clima,ciudad,Turismo y Ocio,Madrid,"Si, pequeña",diesel,uso particular habitual,Manual,No
1343,35000-60000,buen clima,ciudad,Tecnología,Baleares,"Si, grande",gasolina,uso particular habitual,Manual,Si
1344,- 12000,buen clima,ciudad,Educación,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1345,20000 - 35000,buen clima,ciudad,Educación,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1346,35000-60000,nieve,ciudad,Otros,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1347,60000 - 100000,off-road,ciudad,Industria Construccion y Manufactura,Valencia,"Si, pequeña",diesel,viajes largos,Manual,Si
1348,12000 - 20000,nieve,playa,Comercio,Extremadura,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
1349,12000 - 20000,nieve,ciudad,Energía,Canarias,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1350,20000 - 35000,nieve,playa,Energía,Castilla-La Mancha,No,diesel,uso particular ocasional,Manual,Si
1351,60000 - 100000,nieve,playa,Transporte y Logística,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,No
1352,60000 - 100000,buen clima,montaña,Salud,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
1353,12000 - 20000,buen clima,montaña,Salud,Extremadura,"Si, grande",diesel,uso particular ocasional,Manual,No
1354,20000 - 35000,buen clima,playa,Tecnología,Cantabria,No,gasolina,uso particular habitual,Manual,No
1355,35000-60000,buen clima,montaña,Salud,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
1356,- 12000,buen clima,ciudad,Entretenimiento y Medios,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
1357,60000 - 100000,buen clima,montaña,Comercio,Cataluña,"Si, pequeña",diesel,uso particular habitual,Automatico,No
1358,35000-60000,buen clima,montaña,Salud,Aragón,"Si, grande",gasolina,uso particular ocasional,Manual,Si
1359,60000 - 100000,buen clima,ciudad,Tecnología,Extremadura,"Si, grande",hibrido,uso particular habitual,Manual,Si
1360,20000 - 35000,nieve,ciudad,Salud,Cantabria,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1361,60000 - 100000,off-road,montaña,Comercio,Asturias,No,electrico,uso particular habitual,Manual,Si
1362,35000-60000,buen clima,ciudad,Industria Construccion y Manufactura,Canarias,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1363,20000 - 35000,buen clima,playa,Salud,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1364,- 12000,buen clima,montaña,Salud,Navarra,"Si, pequeña",hibrido,viajes largos,Manual,No
1365,20000 - 35000,nieve,montaña,Energía,Asturias,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
1366,12000 - 20000,nieve,montaña,Servicios Financieros,Cantabria,"Si, grande",gasolina,viajes largos,Manual,Si
1367,+ 100000,off-road,montaña,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
1368,35000-60000,buen clima,ciudad,Comercio,Canarias,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1369,20000 - 35000,nieve,playa,Industria Construccion y Manufactura,Galicia,"Si, grande",electrico,viajes largos,Manual,No
1370,20000 - 35000,buen clima,playa,Turismo y Ocio,Andalucía,"Si, grande",gasolina,uso particular habitual,Manual,Si
1371,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
1372,20000 - 35000,buen clima,montaña,Energía,Galicia,No,gasolina,uso particular ocasional,Manual,Si
1373,- 12000,buen clima,montaña,Industria Construccion y Manufactura,Asturias,No,gasolina,uso particular ocasional,Manual,No
1374,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Andalucía,No,electrico,uso particular habitual,Manual,No
1375,- 12000,buen clima,montaña,Servicios Financieros,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
1376,20000 - 35000,buen clima,playa,Servicios Financieros,Andalucía,"Si, pequeña",diesel,viajes largos,Manual,Si
1377,12000 - 20000,buen clima,montaña,Educación,Extremadura,No,diesel,uso particular habitual,Manual,Si
1378,60000 - 100000,nieve,montaña,Tecnología,Andalucía,No,electrico,uso particular ocasional,Automatico,No
1379,60000 - 100000,nieve,ciudad,Industria Construccion y Manufactura,Cantabria,"Si, grande",gasolina,uso particular ocasional,Manual,No
1380,- 12000,buen clima,montaña,Tecnología,Asturias,"Si, grande",diesel,uso particular ocasional,Automatico,Si
1381,35000-60000,buen clima,montaña,Servicios Financieros,Castilla-La Mancha,"Si, grande",electrico,uso particular habitual,Manual,Si
1382,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,Asturias,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
1383,35000-60000,off-road,montaña,Comercio,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
1384,+ 100000,off-road,ciudad,Energía,Andalucía,"Si, grande",gasolina,viajes largos,Manual,Si
1385,20000 - 35000,nieve,montaña,Comercio,Asturias,"Si, pequeña",gasolina,uso particular habitual,Manual,No
1386,20000 - 35000,buen clima,ciudad,Tecnología,Navarra,"Si, pequeña",diesel,uso particular habitual,Manual,Si
1387,12000 - 20000,buen clima,ciudad,Salud,Aragón,"Si, grande",hibrido,uso particular habitual,Manual,Si
1388,20000 - 35000,buen clima,montaña,Tecnología,Valencia,"Si, grande",gasolina,uso particular habitual,Manual,No
1389,20000 - 35000,nieve,montaña,Educación,Aragón,"Si, pequeña",hibrido,uso particular ocasional,Manual,No
1390,20000 - 35000,nieve,montaña,Comercio,Extremadura,"Si, pequeña",diesel,uso particular habitual,Automatico,No
1391,12000 - 20000,off-road,montaña,Servicios Financieros,Asturias,"Si, grande",diesel,uso particular habitual,Manual,No
1392,20000 - 35000,buen clima,playa,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
1393,35000-60000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, pequeña",hibrido,uso particular habitual,Manual,No
1394,20000 - 35000,nieve,playa,Salud,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
1395,20000 - 35000,nieve,montaña,Servicios Financieros,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,No
1396,35000-60000,buen clima,montaña,Salud,Galicia,"Si, pequeña",electrico,uso particular ocasional,Manual,No
1397,35000-60000,buen clima,playa,Servicios Financieros,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,Si
1398,12000 - 20000,buen clima,montaña,Transporte y Logística,Galicia,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
1399,20000 - 35000,buen clima,montaña,Comercio,Andalucía,No,gasolina,uso particular habitual,Automatico,No
